pdf_name,dates,litverz,biblio,sekundaerlit,primaerlit,waerke,pubplaces,abkuerzungen,pub_fr,pub_paris,pub_ny,pub_mue,pub_stu,pub_tue,pub_ber,kw_hrsg,kw_ed,kw_bd,kw_nr,kw_ders,kw_anhang,kw_inhalt,kw_vgl,n_pag,n_pags,position,bibtest
de_pum_2004_landzettel_f,0.004731861199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004731861199,390,789,0.4942965779,0
de_pum_2004_landzettel_f,0.004750593824,0,0,0,0,0,0.004750593824,0,0,0,0,0,0.002375296912,0,0.002375296912,0,0,0,0,0,0,0,0,554,789,0.7021546261,0
de_pum_2004_landzettel_f,0.004846526656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,789,0.3105196451,0
de_pum_2004_landzettel_f,0.005102040816,0,0,0,0,0,0,0.001700680272,0,0,0,0,0,0,0,0,0,0.001700680272,0,0,0,0,0,293,789,0.371356147,0
de_pum_2004_landzettel_f,0.005136986301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001712328767,104,789,0.1318124208,0
de_pum_2004_landzettel_f,0.00518134715,0,0,0,0,0,0.003454231434,0,0.003454231434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518134715,164,789,0.2078580482,0
de_pum_2004_landzettel_f,0.005235602094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,789,0.7046894804,0
de_pum_2004_landzettel_f,0.005347593583,0,0,0,0,0,0.005347593583,0,0.002673796791,0,0,0.002673796791,0,0,0,0,0,0,0,0,0,0,0,555,789,0.7034220532,0
de_pum_2004_landzettel_f,0.005464480874,0,0,0,0,0,0.00364298725,0.001821493625,0.00364298725,0,0,0,0,0,0,0,0,0,0,0.001821493625,0,0,0,110,789,0.1394169835,0
de_pum_2004_landzettel_f,0.005565862709,0,0,0,0,0,0,0.003710575139,0,0,0,0,0,0,0,0,0,0.003710575139,0,0,0,0,0,428,789,0.5424588086,0
de_pum_2004_landzettel_f,0.005905511811,0,0,0,0,0,0.001968503937,0,0.001968503937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,789,0.5234474018,0
de_pum_2004_landzettel_f,0.005964214712,0,0,0,0,0,0.001988071571,0,0,0,0,0,0,0,0.001988071571,0,0,0,0,0,0,0,0.003976143141,406,789,0.5145754119,0
de_pum_2004_landzettel_f,0.006211180124,0,0,0,0,0,0.002070393375,0,0,0,0,0,0,0,0.002070393375,0,0,0,0,0,0,0,0,441,789,0.5589353612,0
de_pum_2004_landzettel_f,0.006319115324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001579778831,419,789,0.5310519645,0
de_pum_2004_landzettel_f,0.006369426752,0,0,0,0,0,0.008492569002,0,0,0,0,0.004246284501,0.002123142251,0,0.002123142251,0,0,0,0,0,0,0,0,566,789,0.7173637516,0
de_pum_2004_landzettel_f,0.006389776358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,789,0.2610899873,0
de_pum_2004_landzettel_f,0.006535947712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,789,0.6996197719,0
de_pum_2004_landzettel_f,0.006557377049,0,0,0,0,0,0.001639344262,0,0,0,0,0,0,0,0.001639344262,0,0,0,0,0,0,0,0,101,789,0.1280101394,0
de_pum_2004_landzettel_f,0.006622516556,0,0,0,0,0,0.001655629139,0,0.001655629139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001655629139,105,789,0.1330798479,0
de_pum_2004_landzettel_f,0.006655574043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001663893511,211,789,0.2674271229,0
de_pum_2004_landzettel_f,0.006745362563,0,0,0,0,0,0.001686340641,0,0.001686340641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,789,0.4930291508,0
de_pum_2004_landzettel_f,0.007130124777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,789,0.391634981,0
